序号,房源编号,户型,风格,房屋基地面积,建筑面积,房屋占地面积（含花园）,入户朝向,销售状态,抵押状态,房源性质
0,A01,10,西班牙,438.77,714.04,1903.1,北入户,甲控,,新房
1,A02,9,意大利,369.76,537.67,1587.71,北入户,已售,,
2,A03,8,法兰西,311.92,525.33,1503.65,北入户,甲控,,二手房
3,A05,1,西班牙,221.94,373.59,1582.17,北入户,已售,,
4,A06,4,意大利,221,364.3,1062.18,北入户,已售,,
5,A07,2,西班牙,219.32,362.31,1135.47,北入户,已售,,
6,A08,4,法兰西,221,364.3,1112.19,北入户,甲控,,新房
7,A09,3,西班牙,218,368.45,1095.52,北入户,已售,,
8,A10,3,法兰西,218,368.45,1019.82,北入户,已售,,
9,A11,1,意大利,224.06,372.41,1314.71,北入户,已售,,
10,A12,7,意大利,309.77,498.97,1666.62,南入户,已售,,
11,A13,6,法兰西,292.9,474.34,1682.13,南入户,甲控,,二手房
12,A15,2,意大利,219.32,358.17,875.6,北入户,已售,,
13,A16,6,意大利,296.22,476.41,1352.82,南入户,可售,,新房
14,A17,5,法兰西,243.21,404.06,966.77,南入户,可售,,新房
15,A18,6,西班牙,292.9,479.82,1145.88,南入户,甲控,,新房
16,A19,8,西班牙,312.65,513.09,1386.42,北入户,已售,,
17,A20,3,意大利,218,364.89,1005.79,北入户,甲控,,二手房
18,A21,2,法兰西,219.32,363.39,1031.89,北入户,甲控,,新房
19,A22,3,西班牙,218,368.45,1023.16,北入户,已售,,
20,A23,4,法兰西,221,364.3,885.08,北入户,已售,,
21,A25,5,西班牙,243.44,415.15,1355.22,南入户,已售,,
22,A26,3,法兰西,218,368.45,981.36,北入户,已售,,
23,A27,4,意大利,221,364.3,857.42,北入户,已售,,
24,A28,1,意大利,224.06,372.41,1345.2,南入户,甲控,,新房
25,A29,7,西班牙,309.77,505.73,1530.5,南入户,已售,,
26,A30,1,法兰西,221.94,373.7,1136.29,南入户,已售,,
27,A31,1,意大利,224.06,372.41,1081.39,南入户,可售,在押,新房
28,A32,1,西班牙,221.94,373.59,1113.35,南入户,已售,,
29,A33,6,意大利,296.22,476.41,1138.06,南入户,可售,在押,新房
30,A35,1,西班牙,221.94,373.59,1051.99,南入户,可售,在押,新房
31,A36,1,法兰西,221.94,373.7,1004.13,南入户,可售,在押,新房
32,B01,9,西班牙,362.37,533.07,1597.64,北入户,可售,,新房
33,B02,10,法兰西,438.77,710.18,2383.09,北入户,已售,,
34,B03,3,意大利,218,364.89,1115.13,北入户,已售,,
35,B05,4,西班牙,221,364.3,1063.57,北入户,可售,在押,新房
36,B06,6,法兰西,292.9,474.34,1371.12,北入户,已售,,
37,B07,10,西班牙,438.77,714.04,2127.06,北入户,甲控,,新房
38,B08,6,意大利,296.22,476.41,1205.01,北入户,已售,,
